datetime,open,high,low,close,volume
2018-01-01 03:20:00,724.93,734.99,716.8,733.74,5499.94522
2018-01-01 05:01:00,733.73,746.41,730.01,746.33,3999.52555
2018-01-01 06:53:00,746.33,759.08,742.08,759.08,4307.92091
2018-01-01 08:33:00,759.08,763.55,743.0,745.4,3890.8219
2018-01-01 09:22:00,745.4,755.0,737.4,753.5,2010.55665
2018-01-01 11:10:00,753.53,759.0,740.77,740.77,3154.59676
2018-01-01 12:07:00,742.94,745.7,730.58,745.68,2905.35249
2018-01-01 13:07:00,745.68,748.8,731.0,731.08,2639.148
2018-01-01 14:11:00,731.1,744.47,727.49,728.47,2710.54744
2018-01-01 14:52:00,728.4,739.99,724.15,739.99,2690.75701
2018-01-01 18:01:00,739.98,752.27,733.0,735.24,7124.38442
2018-01-01 20:09:00,735.24,749.99,734.0,749.99,3890.22762
2018-01-02 00:24:00,749.99,766.3,744.39,766.0,8482.75638
2018-01-02 00:53:00,766.0,786.55,749.06,782.06,2740.8483
2018-01-02 01:29:00,780.4,798.67,780.3,798.09,2975.08687
2018-01-02 01:40:00,798.1,819.96,798.1,817.06,1318.21934
2018-01-02 01:52:00,817.07,835.0,808.36,835.0,1999.94167
2018-01-02 01:57:00,835.0,870.0,833.0,854.14,1042.64411
2018-01-02 02:02:00,855.0,865.16,827.0,838.64,1449.43322
2018-01-02 02:07:00,837.5,848.78,827.53,848.76,994.64179
2018-01-02 02:11:00,848.76,872.76,847.0,871.09,773.10947
2018-01-02 02:17:00,872.75,885.0,835.0,885.0,2145.14324
2018-01-02 02:24:00,883.1,899.5,870.0,872.0,2462.50566
2018-01-02 02:27:00,871.0,888.0,867.49,887.92,1302.3159
2018-01-02 02:34:00,885.02,889.02,861.0,865.02,2001.30669
2018-01-02 02:40:00,865.02,867.65,843.21,844.99,2191.78461
2018-01-02 02:51:00,844.99,865.0,840.0,864.9,2489.339
2018-01-02 03:03:00,864.9,865.0,844.9,847.33,1258.63156
2018-01-02 03:12:00,845.6,849.84,830.98,831.0,1081.56667
2018-01-02 03:30:00,831.0,848.0,827.03,847.5,2987.26665
2018-01-02 03:57:00,847.5,850.0,827.53,828.95,2428.72509
2018-01-02 04:13:00,828.93,844.5,825.25,844.47,1200.43317
